Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/reports/{id},18,0,400.0,418.28089827777916,289.208459000001,1213.089209,9598.0,0.3048432156207185,0.0,400,410,420,420,440,1200,1200,1200,1200,1200,1200
GET,/api/sessions,58,0,1100.0,1069.0071638448276,880.0348749999998,1294.244625,770.3103448275862,0.9822725836667595,0.0,1100,1100,1100,1100,1100,1200,1200,1300,1300,1300,1300
GET,/api/sessions/trends,46,0,530.0,589.4259392391311,520.1634999999989,1842.1907919999999,232.0,0.7790437732529473,0.0,540,540,550,560,570,930,1800,1800,1800,1800,1800
GET,/api/vendors/{v}/enriched,81,0,420.0,444.06621241975336,402.41370800000095,1053.6349999999998,4933.0,1.3717944702932332,0.0,420,430,430,440,450,500,1000,1100,1100,1100,1100
GET,/health,13,0,170.0,172.96680738461436,161.76333299999612,201.92837500000138,19.0,0.22016454461496335,0.0,170,170,180,180,190,200,200,200,200,200,200
,Aggregated,216,0,500.0,624.3657249027779,161.76333299999612,1842.1907919999999,2907.1018518518517,3.6581185874486217,0.0,520,550,920,1100,1100,1100,1200,1200,1800,1800,1800
