Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/reports/{id},167,0,300.0,338.288062556886,279.4012499999994,1038.4028339999993,9598.0,1.8721373911193968,0.0,300,380,400,400,420,420,470,620,1000,1000,1000
GET,/api/sessions,511,0,910.0,980.2059769099802,863.9539589999998,1799.711125,765.8258317025441,5.728516208754562,0.0,910,1000,1100,1100,1100,1100,1200,1300,1800,1800,1800
GET,/api/sessions/trends,338,0,530.0,550.3451772929,514.1836660000081,1221.8595419999997,232.0,3.7891163963973424,0.0,530,530,540,540,560,640,950,1200,1200,1200,1200
GET,/api/vendors/{v}/enriched,485,0,410.0,424.1514861896904,397.788208999998,1497.837208,4933.0,5.437045716723997,0.0,410,410,420,420,430,450,540,1100,1500,1500,1500
GET,/health,139,0,170.0,180.54971400719427,160.36329199999955,596.2824579999904,19.0,1.558246092009558,0.0,170,170,180,180,200,210,400,570,600,600,600
,Aggregated,1640,0,520.0,594.0279948914633,160.36329199999955,1799.711125,2724.246951219512,18.385061805004856,0.0,520,560,880,890,1000,1100,1100,1200,1800,1800,1800
