Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/sessions,2,0,45816.026166,45810.083062000005,45804.139958,45816.026166,767.0,0.04181898460944086,0.0,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000,46000
GET,/api/sessions/trends,2,0,44090.057582999994,44664.1239995,44090.057582999994,45238.190416000005,232.0,0.04181898460944086,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
GET,/api/vendors/{v}/enriched,2,0,18000.0,31291.5797295,17781.839042,44801.320417,4933.0,0.04181898460944086,0.0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
GET,/health,1,0,46807.667416000004,46807.667416000004,46807.667416000004,46807.667416000004,19.0,0.02090949230472043,0.0,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000
,Aggregated,7,0,45000.0,41477.03442828572,17781.839042,46807.667416000004,1697.5714285714287,0.14636644613304303,0.0,45000,46000,46000,46000,47000,47000,47000,47000,47000,47000,47000
